================================================================================
CASE STUDY 2: MEDIUM GRID - ACO RESULTS
================================================================================

Problem Configuration:
  Grid Size: 6x6
  Free Cells: 30
  Obstacles: [1, 7, 13, 19, 25, 31]
  Robots: 3

ACO Parameters:
  num_ants: 30
  initial_pheromone: 1.0
  rho: 0.5
  alpha: 1.0
  beta: 1.0
  iterations: 50
  gamma: 1.0
  seed: 42

Best Solution:
  F1 (Coverage): 30/30 cells
  F2 (Workload Imbalance): 12.00

Robot Paths:
  Robot 0:
    Path length: 11 cells
    Distance (Lr): 10.00
    Path: [0, 6, 12, 18, 24, 30, 24, 18, 12, 6, 0]

  Robot 1:
    Path length: 21 cells
    Distance (Lr): 20.00
    Path: [2, 8, 14, 20, 26, 20, 14, 8, 2, 3, 4, 10, 11, 17, 23, 22, 28, 34, 35, 29, 35]

  Robot 2:
    Path length: 19 cells
    Distance (Lr): 18.00
    Path: [3, 9, 15, 16, 22, 16, 15, 21, 27, 33, 32, 33, 27, 21, 15, 9, 3, 4, 5]

Feasibility: ✅ Feasible

Runtime: 3.45 seconds (0.06 minutes)

Convergence History:
Iteration | F1 (Coverage) | F2 (Imbalance) | Feasible Solutions
----------------------------------------------------------------------
        1 |             30 |           22.00 |                30
        2 |             30 |           14.67 |                30
        3 |             30 |           14.67 |                30
        4 |             30 |           14.00 |                30
        5 |             30 |           14.00 |                30
        6 |             30 |           12.00 |                30
        7 |             30 |           12.00 |                30
        8 |             30 |           12.00 |                30
        9 |             30 |           12.00 |                30
       10 |             30 |           12.00 |                30
       11 |             30 |           12.00 |                30
       12 |             30 |           12.00 |                30
       13 |             30 |           12.00 |                30
       14 |             30 |           12.00 |                30
       15 |             30 |           12.00 |                30
       16 |             30 |           12.00 |                30
       17 |             30 |           12.00 |                30
       18 |             30 |           12.00 |                30
       19 |             30 |           12.00 |                30
       20 |             30 |           12.00 |                30
       21 |             30 |           12.00 |                30
       22 |             30 |           12.00 |                30
       23 |             30 |           12.00 |                30
       24 |             30 |           12.00 |                30
       25 |             30 |           12.00 |                30
       26 |             30 |           12.00 |                30
       27 |             30 |           12.00 |                30
       28 |             30 |           12.00 |                30
       29 |             30 |           12.00 |                30
       30 |             30 |           12.00 |                30
       31 |             30 |           12.00 |                30
       32 |             30 |           12.00 |                30
       33 |             30 |           12.00 |                30
       34 |             30 |           12.00 |                30
       35 |             30 |           12.00 |                30
       36 |             30 |           12.00 |                30
       37 |             30 |           12.00 |                30
       38 |             30 |           12.00 |                30
       39 |             30 |           12.00 |                30
       40 |             30 |           12.00 |                30
       41 |             30 |           12.00 |                30
       42 |             30 |           12.00 |                30
       43 |             30 |           12.00 |                30
       44 |             30 |           12.00 |                30
       45 |             30 |           12.00 |                30
       46 |             30 |           12.00 |                30
       47 |             30 |           12.00 |                30
       48 |             30 |           12.00 |                30
       49 |             30 |           12.00 |                30
       50 |             30 |           12.00 |                30
